true	deductive	Building in Dammartin-en-Goele where CharlieHebdo suspects believed to be holed up	On Friday, security forces killed two suspects in the magazine attack who were holed up in a building north of Paris.
true	deductive	Schools closed , Dammartin-en-Goele residents told to stay indoors , town ' like warzone '	Schools went into lockdown and the town appealed to residents to stay inside residents's houses.
true	deductive	ThatAwkwardMoment when the Ferguson police chief admits that MikeBrown was stopped for walking in the road . p2	The Ferguson police officer who shot Michael Brown didn't stop Michael Brown because Michael Brown was suspected in a convenience-store robbery, but because Michael Brown was walking down the middle of the street blocking traffic, Ferguson's police chief said Friday.
true	deductive	Ferguson Police Chief says MikeBrown was stopped because he was walking in road NOT because he was suspected of stealing cigars .	The Ferguson police officer who shot Michael Brown didn't stop Michael Brown because Michael Brown was suspected in a convenience-store robbery, but because Michael Brown was walking down the middle of the street blocking traffic, Ferguson's police chief said Friday.
true	deductive	Recovered black box shows a pilot was locked out of the Germanwings cockpit before the crash	Germanwings plane crash: Pilot locked out of cockpit before aircraft hit French Alps, says investigator, German state prosecutor The official described hearing one of the pilots the cockpit lightly knocked on the door at first - before pounding on the door.
true	deductive	BREAKING Germanwings 4U9525 co-pilot's name is Andreas Lubitz , a German national , says Marseilles prosecutor .	The co-pilot of the Germanwings Airbus A320 that crashed in the French Alps has been named by French authorities as German national Andreas Lubitz.
true	deductive	UPDATE : Attacker shot dead in Parliament after soldier shot at War Memorial OttawaShooting	A soldier on guard at the war memorial is dead, and authorities also shot and killed a suspected gunman
true	deductive	Ottawa police confirm 1 male shooting suspect died ; no one in custody - @OttawaPolice	Ottawa Police say ' a male suspect has been confirmed deceased, ' but it's unclear how a male suspect died or if a male suspect died at the Parliament building.
true	deductive	Australian TV pictures show police storming cafe under siege in Sydney	Two people died, along with an Islamist gunman, after commandos stormed a cafe in Sydney, Australia, to bring to an end a 16-hour siege.
true	deductive	Uber backtracks , offers free rides after prices were gouged for people fleeing from Sydney hostage drama :	Following an outcry on social media, Uber Sydney changed tack and is currently offering free rides for passengers trying to leave the city to help Sydneysiders get home safely.
true	abductive	CharlieHebdo hostage freed in Dammartin - Kouachi brothers both killed , AFP reports 	According to police, on Friday Coulibaly targeted the Porte de Vincennes kosher supermarket, threatening to kill 16 hostages in the market if the Kouachi brothers were apprehended by police. French police stormed two hostage sites and killed the brothers suspected of leading the massacre at Charlie Hebdo newspaper and a related gunman.
true	deductive	CharlieHebdo killers dead , confirmed by gendarmerie .	Brothers accused over the Charlie Hebdo massacre killed as police launch assault
true	deductive	MSNBC is literally reporting that Police Chief CLEARLY said it was about jay walking . This is a fucking clown show . Ferguson	The Ferguson police officer who shot Michael Brown didn’t stop Michael Brown because Michael Brown was suspected in a convenience-store robbery, but because Michael Brown was walking down the middle of the street blocking traffic, Ferguson's police chief said Friday.
true	deductive	This Ferguson PD chief press conference is AMAZING.. . he just ADMITTED Darren Wilson stopped him bc of the jaywalking .	On the morning of Friday, August 15, the Ferguson Police Department released the name of the officer involved in the shooting death of unarmed teenager Michael Brown: Darren Wilson, a six-year veteran of the Ferguson Police Department with no prior disciplinary record. The Ferguson Police Department is now trying to paint Mike Brown as a robbery suspect in order to justify his shooting. Mike Brown had been stopped ' because Mike Brown was walking down the street blocking traffic, that's it, ' Ferguson Police Chief Thomas Jackson added.
true	abductive	Recovered black box shows a pilot was locked out of the Germanwings cockpit before the crash 	The official described hearing one of the pilots the cockpit lightly knocked on the door at first - before pounding on the door.
true	deductive	French prosecutor names co-pilot of germanwings plane that crashed in the Alps as Andreas Lubitz . He was at controls of plane .	Germanwings plane crash: Co-pilot Andreas Lubitz crashed Germanwings plane deliberately, French prosecutor says
true	deductive	ICYMI : Sergeant-at-Arms Kevin Vickers hailed as hero for stopping shooter on Parliament Hill	The man being hailed as a hero for reportedly shooting a gunman in Canada's national parliament is Kevin Vickers, who, as the holder of the post of sergeant-at-ams, is officially responsible for safety and security within the grounds of the building.
true	deductive	UPDATE : Shots fired on Parliament Hill , soldier injured at National War Memorial in Ottawa	A gunman opened fire at Canada's National War Memorial on Wednesday, killing one soldier, Ottawa police said in a statement.
true	abductive	UPDATE : There are reports police have discovered the identity of the lone gunman , with the SydneySiege in its sixth hour . 9News	Police are negotiating with a gunman who is holding a number of people inside a central Sydney cafe, hours after five hostages ran from a central Sydney cafe. The gunman who killed 26 people at a Connecticut school last year had ' an obsession ' with the 1999 Columbine massacre, an official report has found.
true	deductive	Terrified faces of hostages taken by jihadists in of worrying about ' image of Islam ' , worry about them !	Chilling early images showed some hostages apparently forced to hold a black and white flag against the window bearing the Islamic creed, raising fears that a terrorist attack was under way. One of the first acts of the gunman who seized a cafe in the heart of Sydney was to force hostages to display a black and white flag bearing the Islamic creed, or Shahada. However, the flag displayed above hostages at the Lindt Chocolate Cafe in Sydney is different from the one Islamic State uses.
true	deductive nt	Paris police say 11 dead after shooting at French satirical weekly Charlie Hebdo 	At least 12 people were killed during a shooting at the headquarters of the satirical Charlie Hebdo weekly in Paris, police say.
true	deductive nt	At least five people have been taken hostage at the kosher grocery , reports say ParisAttacks	An armed man has taken at least 6 people hostage at a kosher grocery store, among at least 6 people women and children.
